,body,stance
372,"Respectfully, this recipe needs some work.

First, your ""marinade"" is mostly water. Leaving chicken in lightly salted water for 20 minutes is not going to have much effect. It seems like this is closer to an attempt at brining the chicken, but you'll need more salt than 1 tbsp to 4 cups of water for that to be effective, and you would want to brine for at least a few hours, if not overnight.

Your frying technique is fine, if basic, but you're going to want to season the flour a whole lot more. There are seasonings out there besides salt, pepper, and MSG.

This reads like a simplified fried chicken recipe for beginners, and it doesn't really feature anything that elevates it to ""restaurant quality.""

EDIT: OP kind of seems like a bot based off their history, so I'm not sure there's much point in this response. ",.
10,"Natural and synthetic msg are different things. Thanks for the grade 9 science lesson though. Very helpful and not condescending at all. And I'm not talking about a ""oh I'm a little dehydrated and dizzy"" reaction that is mostly bs and mass hysteria against Chinese restaurants. When I eat something with added msg I am violently ill for 4-6 hours after.

https://naturallysavvy.com/eat/monosodium-glutamate-natural-vs-synthetic/

 ____NEXT COMMENT____ 
I've seen people on this sub claim being allergic to msg isn't a real thing.... But it definitely is and adding it to people's food without their knowledge could lead to them having a really bad day.

 ____NEXT COMMENT____ 
The form present in common foods doesn't contain the bonding agents used in the additive. So sure technically you're correct, but practically its way easier to say ""I'm allergic/intolerant to msg"" than dive into what exactly I'm allergic to.

https://www.google.com/amp/s/amp.livescience.com/47931-msg-not-safe-for-everyone.html

 ____NEXT COMMENT____ 
I'm pretty much done with this thread because y'all seem to think ""rare"" is the same thing as ""impossible"". It took 4 months of randomly getting sick and tracking ingredient lists to figure out what caused the reaction and I still will occasionally get sick at potlucks when I eat usually ""safe"" food that unexpectedly turns out to have msg in it. And that conclusion was drawn by a physician not myself so feel free to continue discounting anything that goes against your narrative :). I'm not denying a ton of people have bullshit reactions to the Chinese restaurant myth, but you're an idiot if you think that means literally no person can have a reaction to MSG.",.
928,"I have known for a long time that I've had a sensitivity to MSG.  It's not so much the MS but the G, glutamate.  It's not only found in MSG but also autolyzed yeast extract, and hydrolyzed proteins (to state the most common).  It also occurs naturally in many basic foods, ie tomatoes or cheese.  

Glutamic acid is found in two isomers, L- and D-.  The D- configuration is the naturally occurring isomer and I have not determined my own sensitivity to it.  The -L isomer results from human processing, and this is the one I need to watch out for.  L- is the chirality of glutamic acid found as a food additive and I, for some reason, am very sensitive to it.  If I ingest a small quantity I have no reaction.  There seems to be some threshold I need to cross before I get one of my blinding migraines.  I've also noticed that increased heart rate through exercise increases my chance to react to glutamate ingestion.  This I attribute to an increased accumulation in brain's blood vessels.  

A recent paper published in Nature Genetics indicates there is a genetic marker for glutamate sensitivity, and the researchers have tied it to migraine-like reactions.  Here's the link to Reuters story: http://www.reuters.com/article/idUSTRE67S1PN20100830  The paper itself requires a subscription but can be easily found from that link.  I have read it, but I don't understand it's detail very much.  Genetics is way over my head, however I am have a PhD in chemical engineering and scientific research is my career.  I used research techniques, and myself as a guinea pig, to determine the cause of my migraines.  This is how I determined MSG or glutamate as the culprit.  

Now I try to avoid glutamic acid as best I can and have reduced my migraine incidents to about one per year.  Nobody can completely avoid glutamate.  Most people aren't sensitive and it's not a bad salt to cook with, just not for me.

**tl;dr** Some people are sensitive to MSG.  A recent publication in Nature Genetics is supportive of this claim.",.
316,"To over simplify, the way the food industry in many western countries works is that nutrient barren food is often cheaper to produce (primarily because it has a long shelf live, uses preservatives etc) and that low cost is passed on to the consumer. I work in a super market and a single apple at my work is 35p (UK) but for 50p you could get a pack of noodles (super noodles) which are high in additives such as msg. Which would you choose if you were on a tight budget? Similarly many poorer areas are what is referred to as a ""food dessert"" where you don't find much (if any) fresh produce but instead convenience stores and fast food. In some of these places junk food is often sold cheaper than it is in near by affluent areas; the affluent areas absorb the losses and most purchasing is done in poorer areas. So in essence, many poorer people live in an environment where junk food is both normalised and affordable. Also junk food is typically less filling and calorie dense (meaning you need to eat more to be satiated. Therefore, yes poorer people often can afford to over eat due to the way companies target them and unfortunately this also means higher levels of obesity are associated with lower income areas. ",.
706,"Very authentic, except I think it can be done without the Ajinomoto, instead using as you suggest salt, or some seafood.",.
408,"You know who *doesn't* have gluten allergies, sensitivity to MSG, lactose intolerance, and a host of other food ailments that have little or no basis in provable facts?

Practically everyone on the planet but upper-income Americans. Hmmmm...

I'm not saying there aren't any people with legitimate problems, including the ones above. What I *am* saying is that 99% of the people who claim to have those ailments are hypochondriacs and/or attention whores. For instance, they eat some cheese that makes them fart a bit, and suddenly they're announcing to the world that they are lactose intolerant.",.
435,"The phrase ""Chinese restaurant syndrome"" was not coined by the NEJM. It was coined in an article based on hearsay and anecdotal evidence, which happened to be published in the NEJM over 40 years ago. That is not the same thing as the journal endorsing its existence.


""Blind taste tests"" aren't blind, because MSG has such a strong natural flavor. If you can taste it, you're not effectively blinded to it. The only way to do a blind trial of MSG sensitivity is to put it in capsules (with some capsules containing placebo). Was your trial conducted that way?


Also, kombu is full of naturally derived MSG, so if you can eat foods containing kombu broth, then you're not sensitive to MSG. This ""cooking out"" thing has no basis in chemistry.

 ____NEXT COMMENT____ 
If you don't know the food has MSG in it, then how do you know MSG has caused your migraine?",.
625,"Good to know. On the cannister it's advertised as a salt substitute, so I was going down the wrong path to begin with. And despite how much people rave about MSG online, no one ever really talks about the specifics of how to use it, and it's too stigmatised to appear in recipes.",.
347,And MSG.,.
436,I'm assuming you mean seasoned as in the little salty packet that comes with the ramen?  Why dilute the satly msg goodness in water...just sprinkle it in the noodles and go to town! To think I thought I was the only one who did this.,+
